Driver_ID,Ride_Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_Cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_Cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
500142,28-01-2024,06:00:00,CNR1721175,Success,329258,Auto,Area-3,Area-2,5.42,18.46,0,NULL,0,NULL,0,NULL,868.06,Wallet,28.5,4.4,4.4
500174,26-01-2024,03:00:00,CNR2871422,Cancelled by Driver,201414,Mini,Area-7,Area-6,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500144,15-01-2024,16:00:00,CNR6875935,Cancelled by Driver,301629,Bike,Area-40,Area-24,0,0,0,NULL,1,Personal & Car related issues,0,NULL,0,NULL,0,0,0
500179,02-01-2024,22:00:00,CNR6798834,Cancelled by Driver,319684,Prime Sedan,Area-11,Area-24,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500185,30-01-2024,22:00:00,CNR9661713,Incomplete,330283,Bike,Area-41,Area-45,0,0,0,NULL,0,NULL,1,Other Issue,0,NULL,0,0,0
500192,14-01-2024,20:00:00,CNR8720322,Incomplete,787277,Prime Plus,Area-46,Area-21,0,0,0,NULL,0,NULL,1,Vehicle Breakdown,0,NULL,0,0,0
500106,17-01-2024,21:00:00,CNR8611757,Success,329974,Prime Sedan,Area-38,Area-26,19.95,5.01,0,NULL,0,NULL,0,NULL,348.04,Card,25.18,4.5,4.7
500106,30-01-2024,00:00:00,CNR4039598,Success,663054,eBike,Area-47,Area-8,15.27,23.29,0,NULL,0,NULL,0,NULL,56.33,UPI,17.67,3.6,3.3
500201,22-01-2024,08:00:00,CNR7516851,Success,656116,Prime SUV,Area-11,Area-35,18.45,18.37,0,NULL,0,NULL,0,NULL,1971.38,UPI,24.94,3.2,3.7
500186,11-01-2024,05:00:00,CNR0890407,Cancelled by Driver,676510,Mini,Area-9,Area-43,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500153,12-01-2024,07:00:00,CNR5699767,Success,559381,Prime Sedan,Area-43,Area-42,18.09,14.09,0,NULL,0,NULL,0,NULL,1130.15,Card,13.15,3.1,3
500172,01-01-2024,07:00:00,CNR0629802,Cancelled by Customer,858490,Prime Plus,Area-14,Area-35,0,0,1,Wrong Address,0,NULL,0,NULL,0,NULL,0,0,0
500109,25-01-2024,14:00:00,CNR4781044,Success,785197,eBike,Area-47,Area-4,19.7,3.85,0,NULL,0,NULL,0,NULL,534.88,Card,20.73,3.7,4.7
